"acrimony","মেজাজের রুক্ষতা","bitterness","this is {a}acrimony",
acrylics,এক্রাইলিক,synthetic, "this ad, ag. acrylics",
"agendas","বিষয়সূচি","bitterness","this is, agenda",
"abhorrent","জঘন্য",detestable,"this is: eg. (abhorrent)",
"aboriginals","প্রাসঙ্গিক",native,"this is aboriginals",
"aberrated","বিপথগামী হত্তয়া",detestable,"this is aberrated",
"achromatically","বর্ণবিকারমুক্তভাবে","bitterness","this is accromatically",
"acuities","তীক্ষ্নতা","synthetic", ,"this is acuities",
"aerodrome","বিমানশালা",detestable,"this is aerodrome",
"accorded","একমত হত্তয়া",detestable,"this is accorded",
"accentuating","স্বরসঙ্ঘাতসহ উচ্চারণ করা",detestable,"this is accentuating",
"accuracies","সঠিকতা",detestable,this is accuracies,
"adept","সুদক্ষ",detestable,"this is adept",
"affiance","বাগদান",detestable,"this is affiance",
"aislings","ছাড়লেও",detestable,"this is aislings",
